SYMBOL,NAME OF COMPANY, PAID UP VALUE, MARKET LOT, FACE VALUE
DAMODARIND,Damodar Industries Limited,5,1,5
DATAMATICS,Datamatics Global Services Limited,5,1,5
DBCORP,D.B.Corp Limited,10,1,10
DBL,Dilip Buildcon Limited,10,1,10
DBREALTY,D B Realty Limited,10,1,10
DBSTOCKBRO,DB (International) Stock Brokers Limited,2,1,2
DCAL,Dishman Carbogen Amcis Limited,2,1,2
DCBBANK,DCB Bank Limited,10,1,10
DCM,DCM  Limited,10,1,10
DCMFINSERV,DCM Financial Services Limited,10,1,10
DCMSHRIRAM,DCM Shriram Limited,2,1,2
DCW,DCW Limited,2,1,2
DECCANCE,Deccan Cements Limited,5,1,5
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,10,1,10
DEEPAKNTR,Deepak Nitrite Limited,2,1,2
DEEPIND,Deep Industries Limited,10,1,10
DELTACORP,Delta Corp Limited,1,1,1
DELTAMAGNT,Delta Magnets Limited,10,1,10
DEN,Den Networks Limited,10,1,10
DENABANK,Dena Bank,10,1,10
DENORA,De Nora India Limited,10,1,10
DFMFOODS,DFM Foods Limited,2,1,2
DHAMPURSUG,Dhampur Sugar Mills Limited,10,1,10
DHANBANK,Dhanlaxmi Bank Limited,10,1,10
DHANUKA,Dhanuka Agritech Limited,2,1,2
DHARSUGAR,Dharani Sugars & Chemicals Limited,10,1,10
DHFL,Dewan Housing Finance Corporation Limited,10,1,10
DHUNINV,Dhunseri Investments Limited,10,1,10
DIAMONDYD,Prataap Snacks Limited,5,1,5
DIAPOWER,Diamond Power Infra Ltd,10,1,10
DICIND,DIC India Limited,10,1,10
DIGJAMLTD,Digjam Limited,10,1,10
DISHTV,Dish TV India Limited,1,1,1
DIVISLAB,Divi's Laboratories Limited,2,1,2
DIXON,Dixon Technologies (India) Limited,10,1,10
DLF,DLF Limited,2,1,2
DLINKINDIA,D-Link (India) Limited,2,1,2
DMART,Avenue Supermarts Limited,10,1,10
DNAMEDIA,Diligent Media Corporation Limited,1,1,1
DOLLAR,Dollar Industries Limited,2,1,2
DOLPHINOFF,Dolphin Offshore Enterprises (India) Limited,10,1,10
DONEAR,Donear Industries Limited,2,1,2
DPSCLTD,DPSC Limited,1,1,1
DQE,DQ Entertainment (International) Limited,10,1,10
DREDGECORP,Dredging Corporation of India Limited,10,1,10
DRREDDY,Dr. Reddy's Laboratories Limited,5,1,5
DSSL,Dynacons Systems & Solutions Limited,10,1,10
DTIL,Dhunseri Tea & Industries Limited,10,1,10
DUCON,Ducon Infratechnologies Limited,1,1,1
DVL,Dhunseri Ventures Limited,10,1,10
DWARKESH,Dwarikesh Sugar Industries Limited,1,1,1
DYNAMATECH,Dynamatic Technologies Limited,10,1,10
DYNPRO,Dynemic Products Limited,10,1,10
EASTSILK,Eastern Silk Industries Limited,2,1,2
EASUNREYRL,Easun Reyrolle Limited,2,1,2
ECEIND,ECE Industries Limited,10,1,10
ECLERX,eClerx Services Limited,10,1,10
EDELWEISS,Edelweiss Financial Services Limited,1,1,1
EDL,Empee Distilleries Limited,10,1,10
EDUCOMP,Educomp Solutions Limited,2,1,2
EICHERMOT,Eicher Motors Limited,10,1,10
EIDPARRY,EID Parry India Limited,1,1,1
EIHAHOTELS,EIH Associated Hotels Limited,10,1,10
EIHOTEL,EIH Limited,2,1,2
EIMCOELECO,Eimco Elecon (India) Limited,10,1,10
EKC,Everest Kanto Cylinder Limited,2,1,2
ELAND,E-Land Apparel Limited,10,1,10
ELECON,Elecon Engineering Company Limited,2,1,2
ELECTCAST,Electrosteel Castings Limited,1,1,1
ELECTHERM,Electrotherm (India) Limited,10,1,10
ELGIEQUIP,Elgi Equipments Limited,1,1,1
ELGIRUBCO,Elgi Rubber Company Limited,1,1,1
EMAMILTD,Emami Limited,1,1,1
EMAMIREAL,Emami Realty Limited,2,1,2
EMCO,Emco Limited,2,1,2
EMKAY,Emkay Global Financial Services Limited,10,1,10
EMMBI,Emmbi Industries Limited,10,1,10
ENDURANCE,Endurance Technologies Limited,10,1,10
ENERGYDEV,Energy Development Company Limited,10,1,10
ENGINERSIN,Engineers India Limited,5,1,5
ENIL,Entertainment Network (India) Limited,10,1,10
EON,Eon Electric Limited,5,1,5
EQUITAS,Equitas Holdings Limited,10,1,10
ERIS,Eris Lifesciences Limited,1,1,1
EROSMEDIA,Eros International Media Limited,10,1,10
ESABINDIA,Esab India Limited,10,1,10
ESCORTS,Escorts Limited,10,1,10
ESSARSHPNG,Essar Shipping Limited,10,1,10
ESSDEE,Ess Dee Aluminium Limited,10,1,10
ESSELPACK,Essel Propack Limited,2,1,2
ESTER,Ester Industries Limited,5,1,5
EUROCERA,Euro Ceramics Limited,10,1,10
EUROMULTI,Euro Multivision Limited,10,1,10
EUROTEXIND,Eurotex Industries and Exports Limited,10,1,10
EVEREADY,Eveready Industries India Limited,5,1,5
EVERESTIND,Everest Industries Limited,10,1,10
EXCEL,Excel Realty N Infra Limited,10,1,10
EXCELCROP,Excel Crop Care Limited,5,1,5
EXCELINDUS,Excel Industries Limited,5,1,5
EXIDEIND,Exide Industries Limited,1,1,1
FACT,Fertilizers and Chemicals Travancore Limited,10,1,10
FAIRCHEM,Fairchem Speciality Limited,10,1,10
FCL,Fineotex Chemical Limited,2,1,2
FCONSUMER,Future Consumer Limited,6,1,6
FCSSOFT,FCS Software Solutions Limited,1,1,1
FDC,FDC Limited,1,1,1
FEDERALBNK,The Federal Bank  Limited,2,1,2
FEL,Future Enterprises Limited,2,1,2
FELDVR,Future Enterprises Limited,2,1,2
FIEMIND,Fiem Industries Limited,10,1,10
FILATEX,Filatex India Limited,2,1,2
FINCABLES,Finolex Cables Limited,2,1,2
FINEORG,Fine Organic Industries Limited,5,1,5
FINPIPE,Finolex Industries Limited,10,1,10
FLEXITUFF,Flexituff Ventures International Limited,10,1,10
FLFL,Future Lifestyle Fashions Limited,2,1,2
FMGOETZE,Federal-Mogul Goetze (India) Limited.,10,1,10
FMNL,Future Market Networks Limited,10,1,10
FORTIS,Fortis Healthcare Limited,10,1,10
