SYMB_COMPANY_NAME, SM_KEY_SYMBOL, SM_NEW_SYMBOL
Prozone Intu Properties Limited,PROZONECSC,PROZONINTU
Quintegra Solutions Limited,SOFFIASOFT,QUINTEGRA
RPG Cables Limited,RPGTELECOM,RPGCABLES
RPG Transmission Limited,SAELTD,RPGTLTD
RSWM Limited,RAJASSPG,RSWM
Rain Industries Limited,PRIYADCEM,RAINCOM
Rain Industries Limited,RAINCOM,RAIN
Rane Holdings Limited,RANEMADRAS,RANEHOLDIN
RattanIndia Infrastructure Limited,IBIPL,RTNINFRA
RattanIndia Power Limited,IBPOW,RTNPOWER
Reliance Broadcast Network Limited,RMEDIA,RBN
Reliance Communications Limited,RCVL,RCOM
Reliance Infrastructure Limited,BSES,REL
Reliance Infrastructure Limited,REL,RELINFRA
Reliance MediaWorks Limited,ADLABSFILM,RELMEDIA
Reliance Naval and Engineering Limited,PIPAVAVYD,PIPAVAVDOC
Reliance Naval and Engineering Limited,PIPAVAVDOC,RDEL
Reliance Naval and Engineering Limited,RDEL,RNAVAL
Roofit Industries Limited,RATNABLDG,ROOFITIND
SBI-ETF Gold,SBIGETS,SETFGOLD
SBI-ETF Nifty 50,SETFNIFTY,SETFNIF50
SBI-ETF Nifty Bank,SETFBANK,SETFNIFBK
SBI-ETF Nifty Next 50,SETFNIFJR,SETFNN50
SI Group - India Limited,HERDILCHEM,SCHENHERD
SI Group - India Limited,SCHENHERD,SIGROUPIND
SIL Investments Limited,SUTLEJINDS,SILINV
SKF India Limited,SKFBEARING,SKFINDIA
SKIL Infrastructure Limited,HORIZONBAT,HORIZONINF
SKIL Infrastructure Limited,HORIZONINF,SKIL
SML Isuzu Limited,SWARAJMAZD,SMLISUZU
SORIL Infra Resources Limited,PIRAMYDRET,IBRETAILS
SORIL Infra Resources Limited,IBRETAILS,STOREONE
SORIL Infra Resources Limited,STOREONE,SORILINFRA
SPML Infra Limited,SUBHASPROJ,SPMLINFRA
SQS India BFSI Limited,THINKSOFT,SQSBFSI
SREI Infrastructure Finance Limited,SREINTFIN,SREINFRA
SVOGL Oil Gas And Energy Limited,SHIV-VANI,SVOGL
Sagar Cements Limited,SAGARCEM,SAGCEM
Sambhaav Media Limited,PERLENGINF,SAMBHAAV
Sanofi India Limited,HOECHST,AVENTIS
Sanofi India Limited,AVENTIS,SANOFI
Saregama India Limited,GRAMOPHONE,SAREGAMA
Sastasundar Ventures Limited,MICROSEC,SASTASUNDR
Sathavahana Ispat Limited,SATHVANISP,SATHAISPAT
Savita Oil Technologies Limited,SAVITACHEM,SOTL
Schaeffler India Limited,FAGPRECISN,FAGBEARING
Schaeffler India Limited,FAGBEARING,SCHAEFFLER
Seamec Limited,PEERLESHIP,SEAMECLTD
Sezal Glass Limited,SEJALGLASS,SEZALGLASS
Shalimar Paints Limited,SHALMPAINT,SHALPAINTS
Shasun Pharmaceuticals Limited,SHASUNCHEM,SHASUNPHAR
Shirpur Gold Refinery Limited,AGEEGOLD,SHIRPUR-G
Shiva Texyarn Limited,ANAMALFIN,SHIVTEX
Shreyas Shipping & Logistics Limited,SHREYASHIP,SHREYAS
Shri Aster Silicates Limited,ASTERSILI,SHRIASTER
Simplex Infrastructures Limited,SIMPLEXCON,SIMPLEXINF
Siti Networks Limited,WWIL,SITICABLE
Siti Networks Limited,SITICABLE,SITINET
Siyaram Silk Mills Limited,SIYARSILK,SIYSIL
Smartlink Holdings Limited,D-LINK,SMARTLINK
Solar Industries India Limited,SOLAREX,SOLARINDS
Somany Ceramics Limited,SPLLTD,SOMANYCERA
Sovereign Gold Bonds 2.75% NOV 2023 Tr-I,GBNOV23,SBNOV23
Sovereign Gold Bonds 2.75% NOV 2023 Tr-I,SBNOV23,SGBNOV23
Spentex Industries Limited,SPENTXIND,SPENTEX
Spice Mobility Limited,SPICEMOBIL,SMOBILITY
Spice Mobility Limited,SMOBILITY,SPICEMOBI
Sri Havisha Hospitality and Infrastructure Limited,SHAKTIGAS,HAVISHA
Srikalahasthi Pipes Limited,LANCOIND,LANCOIN
Srikalahasthi Pipes Limited,LANCOIN,SRIPIPES
Stel Holdings Limited,SENTINEL,STEL
Sterling Biotech Limited,STERLINTEA,STERLINBIO
Sterlite Technologies Limited,STROPTICAL,STRTECH
Summit Securities Limited,KECINTL,KECINFRA
Summit Securities Limited,KECINFRA,SUMMIT
Sunflag Iron And Steel Company Limited,SUNFLAGIRN,SUNFLAG
Supreme Tex Mart Limited,SUPREMYARN,SUPREMETEX
Surana Solar Limited,SURANAVEL,SURANASOL
Surana Telecom and Power Limited,SURANATELE,SURANAT&P
Swelect Energy Systems Limited,NUMERICPW,SWELECTES
TGB Banquets And Hotels Limited,BHAGWATIHO,TGBHOTELS
TV18 Broadcast Limited,GBN,IBN18
TV18 Broadcast Limited,IBN18,TV18BRDCST
TVS Motor Company Limited,TVS-SUZUKI,TVSMOTOR
TVS Srichakra Limited,SRICHAKTYR,TVSSRICHAK
Tarmat Limited,ROMAN,TARMAT
