SC_NAME,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
POEL        ,27,31.9,27,31.9,31.9,28,6,1445,41589,
AEL         ,12.9,13.98,12.5,12.85,12.5,12.71,63,25907,349638,
CAPFIN      ,2.15,2.37,2.15,2.37,2.37,2.26,2,582,1252,
SATIA       ,520,548,516,537.15,548,524.55,125,7520,4017355,
MANPASAND   ,78,79.5,75.5,76.6,76.6,76.5,678,32060,2475957,
MUL         ,247,247,237,243.85,244,245.55,64,4323,1053225,
MISHKA      ,26.35,26.35,26.35,26.35,26.35,25.1,1,1,26,
AMBITION    ,15.4,16.85,12.25,12.45,12.45,15,142,29787,390513,
JIYAECO     ,46.6,47.7,45,45.9,46,44.85,1115,254496,11736517,
RUDRA       ,178.6,178.6,178.6,178.6,178.6,188,1,25,4465,
LOYAL       ,40,40,37,39.9,39.9,38.9,3,510,18899,
GGPL        ,64.95,64.95,64.5,64.95,64.95,64.4,68,13911,900134,
MRSS        ,34,34,32.05,32.05,32.05,33.5,9,5400,175950,
GPL         ,219.4,219.4,219.4,219.4,219.4,219.4,1,1,219,
BALKRISHNA  ,34.85,35.95,34,34.15,34,34.9,10,1244,43036,
SCFL        ,5.5,5.5,5.08,5.08,5.08,5.47,6,5054,26403,
ADANITRANS  ,219.45,219.65,214.5,215.85,214.5,219.15,457,16593,3595715,
STARDELTA   ,132,132.45,130.5,131.95,131.95,126.15,12,556,73317,
AMRAFIN     ,25.65,25.65,25.65,25.65,25.65,32,1,1200,30780,
SYNGENE     ,593.85,608.2,580.7,587.9,587.9,594,724,9411,5617548,
KAYA        ,658,680.4,658,661.4,661.4,658.9,128,1285,854077,
ORTINLAABS  ,12.25,13,12.25,12.98,13,12.79,17,14148,181994,
MJCO        ,455,467.95,452.45,456.1,456.1,441.45,163,4319,1971674,
BINDALAGRO  ,13.05,13.35,12.85,13,13.05,12.95,19,1265,16371,
ARVSMART    ,121.4,121.4,114.05,116.5,116,115.8,180,8417,981910,
POWERMECH   ,811.5,811.5,791.8,801.55,792,793,9,27,21558,
RAMASTEEL   ,95,97,95,95,95,96.2,3,4,382,
TISL        ,4.72,5.24,4.72,4.72,5.24,5.24,9,3852,18181,
