SC_NAME,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
FOMENTO HOTE,87.55,90.1,87.55,90,90,92.15,13,800,70891,
SHREE RAJSYN,10.77,10.77,10.77,10.77,10.77,10.26,1,1,10,
BHARAT BIJLE,965.6,977,965.6,973.3,973.3,963,103,894,869784,
ELPRO INTER ,48.65,50,48.15,50,50,48.75,36,16350,806367,
EMCO LTD.   ,2.83,2.85,2.83,2.83,2.83,2.97,62,55128,156045,
GEE LTD     ,25.5,26.6,25.3,25.5,25.5,25.45,13,1023,26108,
HIND.RECT   ,105.2,108,105,107.7,107.7,104.45,8,385,41062,
NIPPOBATRY  ,629.95,630,621.2,625.55,630,613.35,7,33,20732,
ZENSAR TECH.,229.8,229.8,210.1,212.5,210.1,214,303,20517,4413955,
JYOTI LTD.  ,11,11.25,10,10.75,10.75,10.65,22,1391,14720,
KAYCEE IND  ,2888,3095,2888,3064.75,3095,3040,15,73,223452,
INDOKEM LTD.,10.6,11.99,10.6,11.37,11.24,11.37,22,3837,41745,
PANA ENERG  ,190,190,181,183.35,183.35,184.4,89,2654,487000,
NELCO LTD.  ,230.8,233.9,225.55,226.35,226,225.5,189,5874,1345907,
PERM MAGNETS,151.95,151.95,142,142.1,142.1,146.7,57,2290,331451,
HIGH ENERGY ,230,263.45,205,263.45,263.45,219.55,69,1846,468348,
UNIV.CABLE  ,195.35,197.4,192,196.05,197,194.7,134,6472,1263867,
W.S.INDUSTR.,2.21,2.21,2.12,2.13,2.13,2.21,8,312,688,
DELTON CABLE,13.01,14.15,12.9,12.9,14.15,13.5,4,751,9716,
LAKSHMI ELEC,475.05,480,466.05,471.65,468,474.1,41,642,302989,
DELTA MAG   ,71,71,71,71,71,65,1,5,355,
PAZEL       ,1.17,1.18,1.11,1.16,1.17,1.16,76,609108,706686,
CONFINT     ,0.62,0.62,0.62,0.62,0.62,0.63,1,75,46,
RELTD       ,37.3,37.85,37.3,37.85,37.85,36.05,2,400,14975,
EMPOWER     ,0.19,0.19,0.19,0.19,0.19,0.19,3,3801,722,
NYSSACORP   ,0.85,0.85,0.85,0.85,0.85,0.85,3,478,406,
KRISHNA VEN ,7.41,7.41,7.41,7.41,7.41,7.06,1,50,370,
SARDA ENMIN ,240,242.7,236.2,239.3,239.3,237.35,216,7338,1754966,
GALADA TELE.,2.6,2.6,2.6,2.6,2.6,2.61,1,100,260,
IND.HUME PIP,269.5,270.75,265.85,266.95,266.5,269,66,1716,458481,
INVEST &PREC,284,284,282,282,282,282,7,440,124292,
INFORMEDTEC ,33.45,33.45,33.45,33.45,33.45,33.45,1,24,802,
KAIRA CAN CO,1000,1000,1000,1000,1000,1015,1,5,5000,
ORIENT ABRAS,22.85,23.2,22.85,22.95,22.95,22.85,8,1123,25851,
SANDUR MANG.,887.95,898,876.25,883.55,880,879.85,116,2452,2166439,
STOVAC IND. ,2350,2370,2335,2361.6,2370,2359.8,36,317,743805,
TATA YODOGAW,39.55,39.55,35,37,37,35.5,16,1745,63269,
TINPLATE    ,124,127.95,123.75,125.5,125.5,125,650,44284,5564580,
TIFHL       ,430,445.05,430,443.6,445.05,436.45,7,18,7857,
WELCAST     ,551.25,551.25,551.25,551.25,551.25,570,1,5,2756,
AUTO AXLES  ,1135.05,1144.8,1118,1129.05,1125,1137.7,102,595,672694,
ATLAS CYCLES,63.4,63.4,60.25,63,63,63.4,24,608,37849,
AUTO COR.GOA,525,533.9,515,526.45,520,524.5,32,3582,1868712,
SETCO AUTO  ,29.5,29.6,29.4,29.5,29.5,29.55,21,6600,194740,
SCOOTERS IND,29,29,29,29,29,29.95,1,1,29,
TALBROS AUTO,190,193,186.55,188.85,187.1,193.25,65,3424,647923,
ZF STEERING ,679,679,659,667.85,674,672,52,1088,724178,
SMLISUZU    ,534.6,549.9,534.6,546.55,544.5,529.15,94,974,529241,
TIL LTD.    ,233.5,245,230,235.6,233.5,226.45,128,810,191517,
EICHER MOTOR,20499.9,20650,20376.35,20468.4,20427.7,20353.7,613,1635,33510330,
ALFRED HERB ,575.7,590,575.7,590,590,595,3,9,5290,
CIMMCO      ,28.75,28.75,28.75,28.75,28.75,29.7,1,18,517,
VELJAN      ,665,740,665,710,710,735,21,147,102401,
DYNAMAT.TECH,1265.35,1340,1264.8,1295.3,1264.8,1256.25,24,52,66756,
G.G.DANDEKAR,67.9,67.9,67.9,67.9,67.9,65,1,1,67,
GMM PFAUDLER,1048,1080,1048,1061.05,1061.05,1042,45,232,247379,
KIRLOSAR PN ,165.8,165.8,159,162,162,161.7,109,11670,1900894,
TULIVE      ,245.5,245.5,235.9,235.9,235.9,240.7,35,919,219739,
KULK-POWER  ,62.7,62.7,59.2,61.5,61.5,60.1,4,110,6541,
LAXMI AUTOLM,43.65,47.85,43.65,43.65,43.65,45.8,5,515,23529,
MANUGRAPH IN,26.9,26.9,25.35,26,26,25.5,21,706,18245,
MONOTYPE IND,0.19,0.19,0.19,0.19,0.19,0.19,16,336806,63993,
NESCO LTD   ,430,433.3,426,427.65,427.65,429.7,72,1060,454426,
INTEGRA ENG ,50,51,49.1,50.35,50.35,50.45,48,6198,312918,
REVATHI EQU.,407,407,365.25,365.25,365.25,357,3,4,1518,
TEXINFRA    ,53.95,55,53.2,55,55,53.95,12,1628,89302,
WENDT(INDIA),2860,2899,2811,2872.05,2898,2896.95,12,308,881430,
PSITINFRA   ,44.05,44.05,44.05,44.05,44.05,44.9,7,14792,651587,
RESPON IND  ,90.85,95,88.25,93.2,92.55,89,792,4320780,388938024,
DOLAT INV.  ,57.5,60.95,55.4,60.95,60.95,58.05,1002,257540,14873537,
WESTLIFE DEV,349,357,340.1,354.15,355.5,344.2,1963,31523,11010831,
ZEE ENTER   ,445,451.5,438.9,444.9,444.9,446.1,3809,229437,102101997,
GOLDCORP    ,58.8,58.8,58.8,58.8,58.8,56,1,1,58,
SVPGLOB     ,279,279,273,277,277.45,274.7,12,1287,355162,
BIMETAL BEAR,446.2,460,444.05,447.05,456.5,458,39,273,122234,
BHARAT GEARS,142.2,146.75,142.15,142.75,145.1,146,62,1842,264040,
ELECON ENG  ,56.1,56.1,54,54.8,54.8,55.45,189,17995,983574,
GRAUER& WEIL,45,45,43.5,43.6,43.7,43.8,133,21770,948872,
HIMTEK      ,117.4,122.85,117,119.35,119.1,124.35,13,410,48842,
GABRIEL(I)  ,141.6,144,141.6,143.95,144,141.65,60,1907,273056,
HERC.HOISTS ,99.65,99.65,98,98.4,98.4,98.5,90,5590,551599,
HIND.EVEREST,43.65,54,41.2,48.85,54,45,3,9,439,
IFB IND.LTD.,730,769.45,730,766,766,739.7,125,1030,775331,
SINGER INDIA,38.5,38.5,37.55,38,38,37.95,61,7546,286895,
INTER.COMBUS,233,245,223.6,224.9,223.6,240.55,78,5667,1297487,
FED MOG GOE ,482.1,488.1,479.25,486.1,485.1,489.85,79,1109,536805,
JOSTS ENG.  ,670,700,670,699,699,695,16,290,197988,
SCHAEFFLER  ,5275.25,5299,5151,5205.15,5297.7,5260.6,298,499,2591672,
RANE HOLDIN ,962,997,962,994.9,984,986.85,26,94,92736,
SNL BEARINGS,237.05,259.95,237.05,259.95,259.95,249.7,13,173,41971,
JAIPAN INDUS,18.25,19.1,17.3,17.3,17.3,18.2,19,2579,45355,
MANCREDIT   ,51.5,51.5,47.5,48.25,48,48.15,122,33741,1634390,
TRF LTD.    ,100,107,99.5,104.7,104.7,99.3,184,6685,687201,
WPIL LTD.   ,743.05,775,740,744.7,744.7,746.85,115,4744,3541279,
KENNAMETAL  ,1021.85,1038,1007,1013.65,1013.65,1020.45,209,4884,5012135,
TRITON VALVE,965,965,928.05,954.9,964,951.95,22,132,125215,
SUDAL INDUS ,6.04,6.04,6.04,6.04,6.04,5.76,1,100,604,
PRAKASH IND.,86.2,89.2,84.55,88.8,88.8,85.2,936,80095,7062801,
BHORUKA ALU.,0.76,0.76,0.75,0.75,0.75,0.76,2,226,171,
ARSHIYA     ,28.35,31.9,27.9,28.45,28.35,29,297,18143,523112,
GRIND NORTON,516.1,524.9,510.25,518.6,524.9,513.15,52,429,220823,
STANROSE MAF,100,102.9,100,102.85,102.75,98.3,3,202,20205,
GENESYS INT.,116,119,114,118.3,116.1,116.75,59,3214,377101,
PANKAJPIYUS ,48.05,48.05,47.5,47.5,47.5,50,5,221,10552,
PARNAXLAB   ,36.9,36.9,35.35,35.6,35.6,34.2,4,4,143,
VISAGAR POL ,0.61,0.69,0.56,0.62,0.62,0.64,41,63741,39161,
GALAXY ENTER,35,38.5,34.95,38.5,38.5,36.75,6,1937,70193,
ARIH SUPER  ,47.4,49.8,46.5,49.4,49.4,47.4,53,7332,355388,
BLISSGVS PH ,154.2,154.75,151.7,152.6,152.6,151.4,539,413925,63392598,
INEOSSTYRO  ,491.5,510,486.65,503.75,509,489.95,75,239,119211,
ALEMBIC LTD.,39.9,40.7,39.75,39.9,40,39.95,131,27374,1097200,
AMINES&PLAST,29.6,30.45,29.6,29.95,29.8,29.35,33,7738,231879,
ANUH PHARMA ,126.1,131,122,124.85,125,124.8,150,9374,1181223,
MODISON MET.,43,44.7,43,43.7,43.95,43.05,34,36943,1614357,
BAYER CROP  ,4284,4334.9,4237.3,4282.3,4282.3,4309.4,84,304,1301432,
CHEMO PHARMA,15.6,15.6,15.6,15.6,15.6,16.4,2,2,31,
CLARI CHEM  ,320.95,336.25,320.35,327.95,333,321.85,157,3188,1035598,
COROM INTER ,449.4,450,444.2,446.8,444.2,447.5,62,526,235603,
DEEPAK NITR.,213.6,217.5,213.6,216.05,216.05,214.65,229,7537,1621980,
DHARAMSI CHM,120.3,125,120.3,123.4,124.8,120.1,66,8645,1062079,
DIL LTD     ,814,814,763,789.85,789.85,781.25,63,789,617560,
GOCLCORP    ,232,232,228.15,230.05,230.05,231.5,9,74,17121,
JAYSHRI CHEM,7.7,8.34,7.21,8.15,8.34,7.61,23,2851,21456,
JL MORISON  ,1309,1388,1309,1320,1320,1339,11,43,56551,
KANORIA CHEM,57.7,58,56,56.35,56.5,57.05,27,1369,77694,
KELTECH EN. ,613,670,613,663,663,667.3,10,170,111338,
NITTA GELA  ,121,125,120.6,121.85,120.6,121.9,17,391,47901,
ORIENT.CARB.,1122,1151.8,1088,1094.5,1088,1097.35,127,1005,1130751,
PHIL.CARBON ,140.15,151.8,140.15,149.1,149.1,140.15,1619,135676,19979227,
AMAL PRODUCT,104.95,105,98.35,100,100,98,13,5654,571717,
PUN.CHEM    ,653.35,656.95,650,651.6,651.6,648.3,23,364,237767,
SADHANA NITR,240.35,240.35,240.35,240.35,240.35,228.95,21,1594,383117,
SUDARSH.CHEM,312.2,315,310,311.85,310.15,310.4,60,1247,387908,
ULTRAMARINE ,231.9,232,227,229.7,229,230.1,45,8427,1937931,
TRANSPEK    ,1440.65,1440.65,1415,1418.1,1429.95,1420.75,69,2008,2853842,
UNICHEM LAB ,188.8,191.85,188.25,190.3,190.3,189.85,204,35653,6773732,
MYS PETRO   ,73,78.45,68.5,71.25,71.2,71.8,15,683,50704,
ALKYL AMINES,715,715,679,689.3,685.5,704.6,75,358,246632,
TUTICORIN.  ,3.37,3.53,3.21,3.53,3.53,3.37,12,21228,70544,
ASTRAZEN.PH.,1755.3,1783.3,1755.3,1762.2,1772,1747.3,125,533,941421,
PUN.ALKALI  ,54,54.05,53,54.05,54.05,51.5,135,67710,3659301,
TANFAC IND. ,187.15,188.9,186.5,186.8,186.55,187.15,79,6129,1144303,
SWADESHI IND,1.55,1.55,1.41,1.41,1.41,1.55,15,9461,13523,
GUJ.THEMIS. ,31.15,31.15,29.7,29.75,29.75,31.6,9,400,12131,
SCBL        ,7.44,7.45,7.1,7.33,7.35,7.3,123,69962,508141,
JAYSN DYEST ,58.15,58.15,58.15,58.15,58.15,61.2,2,100,5815,
MAKERS LAB. ,52.9,53,50,50.75,50,51.75,9,320,16548,
J.B.CHEMICAL,316.05,323.4,315.4,321.35,322.95,320.2,204,4752,1524919,
BL.CHIP TEX ,90,90,86,87.15,89,84,4,114,9848,
JAGATJIT IND,50,50,47.5,50,50,50,9,204,10069,
KESAR ENT.  ,27.2,29,27.2,29,29,29.7,3,525,15180,
TILAKNAG IND,14.7,15,14.7,14.75,14.7,14.8,20,2038,30036,
EMERALL     ,96.3,96.3,96.3,96.3,96.3,91.75,2,410,39483,
RAVALGAON   ,2500.05,2728,2500,2500,2500,2601,8,10,25696,
SAKTHI SUGAR,8.87,8.87,8.41,8.76,8.8,8.36,33,10281,88911,
WALCHANDNGR ,81.05,81.15,79,80.3,80.3,79.6,384,23088,1848443,
KHOD.INDIA  ,70.9,70.9,64.6,69.35,69.35,67.95,22,1030,69528,
IFB AGRO    ,409.2,419.5,390.8,405.85,405.85,417.1,102,526,211571,
DHARANI SUG ,9.81,10.49,9.81,10,10,9.99,3,612,6173,
THIRU A.SUG.,15.55,16.9,15.55,15.9,15.9,16.35,22,3714,59959,
KOTHARI FERM,63.5,63.5,60.1,63,63,61.05,7,305,18377,
G.M.BREWERI ,502.3,512.9,502.3,504.95,504.5,502,100,1196,604704,
RANA SUGARS ,3.2,3.24,3.11,3.11,3.11,3.12,24,6660,21025,
PICCADILY SU,6.14,6.15,6.14,6.15,6.15,5.6,3,1231,7567,
RIGA SUGAR  ,3.95,3.95,3.61,3.61,3.61,3.8,7,698,2668,
SOM DISTILL.,125.4,127,123.75,125.8,125.85,125.15,37,929,116717,
AMRIT CORP  ,510.05,559.65,510.05,559.1,559.65,533,7,26,14466,
ASSO.ALCOHOL,227.4,227.4,223,224.55,224.75,225.4,212,8944,2005327,
FOODS & INNS,157,157,140,154.65,155,150,14,390,57828,
IVP LIMITED ,88,88,88,88,88,89.5,3,100,8800,
KLRFM       ,36.5,37.5,36.5,36.6,36.5,36.1,4,329,12048,
MILKFOOD    ,243,255,243,253,253,248,13,388,96867,
POLSON LTD. ,10352.1,10550,10352.1,10550,10550,10406.4,5,9,94691,
RASOI LTD.  ,30200,30270.1,30200,30270.1,30270.1,30250,7,13,392905,
SAGAR SOYA  ,0.73,0.73,0.73,0.73,0.73,0.76,1,250,182,
WIPRO LTD.  ,364,374,361.45,372.45,373,366.05,2052,125778,46178844,
ORIENT BEVER,79.7,84,79.2,83.65,84,81.1,12,1451,118955,
DHAN AGRI   ,384.9,393.4,384.9,392.5,392.3,382.25,57,622,243361,
TTK HEALTHCA,644.5,675,615.5,626.7,639,618,30,187,117250,
TGVSL       ,31.3,32.4,31.3,32,32,31.2,114,69865,2224380,
LIME CHEM.  ,31,36,30.15,35.65,36,32.2,50,3337,113877,
KANPUR PLAST,110,110,107.05,108.5,108.5,108.15,38,1303,142001,
TAINWALA CH.,56.65,62.9,56,59,59,59.7,11,2190,125083,
JAGSON PHAR ,31.9,31.9,27.2,27.6,27.65,28.4,64,2021,56268,
KHAITAN CHEM,7.94,7.94,7.39,7.42,7.42,7.77,104,26810,200306,
NATI. OXYGEN,42,42.5,37,39.75,37,40,6,9,373,
GILLETTE (I),6481.4,6524,6400,6520.3,6500,6462.2,79,2993,19255825,
ANSALHSG    ,13.3,14.67,12.04,12.53,12.53,12.85,645,89836,1176659,
MAC CHARLES ,300,304,292.1,303.35,300,299.45,6,90,26850,
PION INVEST ,25.35,26.6,25.35,26.6,26.6,25.35,65,6998,182519,
UNITECH LTD ,1.22,1.23,1.18,1.23,1.23,1.18,471,4196311,5127165,
VIP INDUS.  ,413.45,440,400.05,433.65,433.65,408.65,3163,95121,40755727,
FIBERWB IN  ,32.9,32.9,32,32.5,32.8,32.45,80,14747,480054,
LKP FIN     ,114.8,119.8,112.25,119.3,118.85,114.8,22,1454,168448,
EASTBUILD   ,8.06,8.06,8.06,8.06,8.06,7.68,1,100,806,
BAJAJ STEEL ,294,294,276.5,287.8,288,272.8,77,3234,931315,
KEY CORP.LTD,14.54,14.54,13.82,13.82,13.82,14.54,2,100,1425,
GUJ.HOTELS  ,104,104,104,104,104,107,2,68,7072,
JINDAL HOTL ,32.5,36,32.5,33.85,33.55,35,16,2283,80897,
SIMMONDS-MAR,68,80,68,76.15,76.15,68.95,118,82423,6412260,
BNALTD      ,152.5,161.75,152,161.75,161.75,155.65,13,269,41911,
HAWKINS COOK,2768.45,2805.95,2730.7,2789.55,2788.9,2778.95,122,1022,2825808,
WARREN TEA  ,60.45,61.5,60,60,60,62,16,729,43874,
BEST E.HOTEL,44.2,44.2,44.2,44.2,44.2,46.5,1,1,44,
IST LTD.    ,540,540,525.05,540,540,540,15,376,202823,
COSMO FILMS ,162.75,173.95,162.75,172,172,164.45,26,730,124302,
APOLLO HOSP.,1120,1143.55,1120,1131.75,1128.85,1118.55,1583,741341,836046956,
NITINCAST   ,124,124,124,124,124,118.25,1,1,124,
SMIFS CAPITA,34.55,34.65,34.55,34.65,34.65,33,5,720,24918,
EVEREST INDS,423,428.3,415,423.75,421.05,422.9,102,977,413810,
MSR INDIA   ,11.17,12.15,10.33,11.86,11,11.05,20,2574,30089,
AYMSYNTEX   ,30.9,31.6,29.65,30.95,31.6,30.7,18,1882,57120,
PANASON CAR ,315,330,306.4,314.6,314.6,317.7,133,2680,845862,
NAVNETEDUL  ,102.05,103.95,101.15,102.45,102.45,101.55,37,3035,310643,
SATPROP LTD ,3.57,3.57,3.57,3.57,3.57,3.64,2,1000,3570,
RUCHI INFRA.,2.65,2.65,2.65,2.65,2.65,2.58,1,24,63,
LANCOR HOLDS,16.3,16.9,15.7,16,16,16,31,10217,164134,
INDIAN INFO.,0.19,0.19,0.19,0.19,0.19,0.19,1,50,9,
VISAKA IND. ,345.2,345.2,340.15,340.95,341,342.75,23,266,90994,
PRESSMN     ,25,25,24.75,24.75,24.75,25.5,23,4098,101450,
GUFIC BIO SC,70.7,71.5,70,71.3,71.3,69.65,55,3029,214537,
GOVIND RUBB.,4.24,4.68,4.24,4.68,4.68,4.46,28,16867,71995,
GRPLTD      ,986,986,967.15,967.15,967.15,1000,9,32,31409,
INDAG RUBBER,99.75,105,99.3,100.3,100.3,96.85,1672,81682,8348671,
M.M.RUBBER  ,74,79.9,74,79.35,79.5,77.35,11,1197,91024,
PTL LTD     ,36.2,38.45,36.2,36.45,36.45,37.55,34,1335,48632,
TVS SRICHAKR,2232,2250,2231.2,2240,2240,2247.2,16,37,82955,
BENARES HOT ,1312.7,1312.7,1312.5,1312.6,1312.5,1350,3,10,13126,
BHAGWATI OXY,18.3,18.3,18.3,18.3,18.3,19.25,1,200,3660,
CRAVATEX    ,313.95,313.95,310,310,310,299,2,4,1243,
BERGE PAINT ,290.05,296,288.25,294.65,293.5,290.75,346,22298,6520382,
CAPRIHANS   ,56.05,56.05,54,54.35,54.35,56.3,24,2010,109610,
GRAPHITE IN.,404,418.85,403.5,412.2,412.2,403.25,5059,161203,66544009,
ITDCEM      ,100.9,106.35,100.9,104.95,106.35,100.25,69,4068,421947,
EMPIRE IND. ,897,910,869,904.05,901.1,872.25,37,286,253056,
GARFIBRES   ,1000.05,1017.65,981,995.25,995.25,995.9,68,26082,26078043,
GOA CARBON  ,412,416,409,411.75,411.75,408.15,308,6997,2887592,
HEG LIMITED ,2119.75,2183.95,2105.35,2132.5,2132.5,2092.75,3818,29900,64134422,
HIND.COMPOSI,200.2,200.2,190,195.3,191.1,198.85,31,241,47055,
HIL         ,1645.05,1667.55,1591,1600.2,1600,1653.1,187,900,1446982,
IND.CARD    ,93,99.5,87.05,94.45,99.5,85,14,179,16820,
INT.CONVEYOR,29.1,29.4,28.05,28.45,28.35,30,33,167950,4909047,
JAYSHRE TEA ,61.25,62.45,61,61.35,61.25,60.95,71,4659,286633,
PAPERPROD   ,180,180,164.75,165.9,164.75,173.2,93,2377,401986,
SHALIMAR PAI,57.8,58.75,56.8,57.6,57.05,57.8,81,8191,472291,
HIND MILLS  ,320,320,318.1,318.1,318.1,320,3,25,7958,
SUPREM IND  ,1047.4,1060,997,1030.45,1030.45,1032.85,743,9701,10031169,
VST INDUS.  ,3184.15,3240,3175.1,3236.05,3240,3202.15,40,136,434886,
SWASTI VINAY,2.95,3,2.77,2.93,2.93,2.95,40,8480,24609,
YAMINI INVES,0.25,0.25,0.25,0.25,0.25,0.26,13,28765,7191,
JINDAL DRILL,99.15,104.7,99.15,102.15,102.15,92.8,626,31035,3183037,
SAKTHI FIN. ,17.3,17.75,16,17.2,17.2,16.5,30,1683,27755,
DEWAN H.FIN.,128,131.3,127.1,130.3,130.3,126.75,6374,952801,123569001,
SAT IND LTD ,27.85,28.4,26.8,27,26.8,27,63,42017,1145215,
SHIVA TEXYAM,139,139.9,131.35,138.3,132,125.05,11,338,46689,
QUADRANT    ,0.36,0.36,0.36,0.36,0.36,0.37,4,2000,720,
KAMAN HSG   ,9.06,10,9.06,10,10,9.53,24,16913,167801,
ASYAINFO    ,4.9,4.9,4.72,4.72,4.72,4.81,12,91850,433760,
WALL ST.FIN.,22.8,27.4,22.8,25,25,23.15,15,647,16199,
CANFIN HOMES,243,254.7,243,253.1,252.1,242.3,854,61895,15500560,
IL & FS INVE,4.94,4.97,4.62,4.71,4.7,4.82,62,30427,146118,
SHRIRAM TRAN,1006.75,1060,1006.75,1049.5,1049.5,1002.45,1541,47007,48875783,
CHOLAFIN    ,1162.2,1194.05,1161.55,1186.7,1191.25,1162.2,409,7302,8643499,
GRUH FINANCE,244.05,246.15,241,242.5,241.5,243.75,915,312629,75967298,
VLS FINANCE ,43.9,44.85,43.9,44.5,44.7,44.25,37,2336,103679,
IND CEM CAP ,2.48,2.48,2.47,2.47,2.47,2.47,6,351,868,
VIDEOCON IND,2.19,2.29,2.19,2.29,2.29,2.19,89,64121,145141,
INTER GLOB F,11.95,11.95,11.95,11.95,11.95,11.39,1,1,11,
SHRISTINFRA ,175,175,165,174.35,174.5,173,40,100,17288,
CREST       ,122.5,126.35,122.5,126.35,126.35,121.15,8,200,24708,
VAKRANGEE   ,42.8,42.95,41.35,41.8,41.8,42.2,1932,641450,26906073,
ALEXANDER   ,20.95,21.05,20.2,21,21,20.9,45,13916,287408,
IND.BANK MER,8.51,8.7,8.4,8.5,8.52,8.42,41,7710,65430,
BHARAT BHUSH,18.75,18.75,17.3,17.85,18.7,18,13,291,5129,
CAPITAL TRUS,178.95,178.95,178.95,178.95,178.95,171.05,2,2,357,
USHAKIRAN FI,4,4,4,4,4,4,1,12,48,
VIVO BIO TEC,54,58.95,54,58.65,58.65,56,6,143,8202,
VEERHEALTH  ,7.22,7.22,7.22,7.22,7.22,7.6,4,883,6375,
PAN INDIA C ,0.21,0.21,0.21,0.21,0.21,0.21,1,1,0,
SAHARA HOUSG,45.2,45.25,40,41.2,40,41.25,14,1194,49218,
GSB FINANCE ,6.92,6.92,6.92,6.92,6.92,7.28,3,378,2615,
MORARKA FIN.,16.55,16.55,16.2,16.55,16.55,15.8,9,3200,52645,
MONARCH     ,30.9,31,30,30.9,30.9,30.25,21,6432,194951,
PRO FIN CAP.,263,265.55,262.7,265.4,265.4,262.75,675,140213,37039300,
TIMES GUARAN,25,30.4,25,30.4,30.4,29.95,2,80,2162,
SAVANI FIN. ,5.95,5.98,5.7,5.98,5.98,5.7,3,1600,9498,
AVONMORE    ,12.5,12.95,12.5,12.7,12.65,12.65,22,1868,23712,
ARIHANT CAP.,54.75,54.75,52,53.7,53.7,53.2,24,1655,86946,
ISL CONSULT ,18.65,18.65,18.65,18.65,18.65,18.6,1,50,932,
SAMBHAAV MED,3.55,3.55,3.26,3.28,3.27,3.68,7,2224,7578,
NETTLINX LTD,41.9,41.9,40.85,41,41,39.3,4,51,2110,
SCANSTL     ,36.3,36.35,36.3,36.35,36.35,36.1,4,218,7924,
GIC HOUSING ,229.7,232.25,227.4,230.65,230.1,228.55,318,9615,2215502,
MATHEW EASOW,9.9,9.9,9.9,9.9,9.9,9.85,1,100,990,
CHARTERED CA,59.5,59.5,59.5,59.5,59.5,59.5,2,1100,65450,
CUBICAL FIN.,1.07,1.07,1.07,1.07,1.07,1.07,1,700,749,
ESCORT FINAN,3.33,3.66,3.33,3.33,3.33,3.5,11,1412,4718,
BAID LEASING,70.45,73,70.45,70.45,70.45,71.85,17,2387,170208,
VIPUL LTD   ,33.55,35.95,33.55,33.95,34.35,35.3,7,930,31336,
USHDEV INTNL,0.51,0.51,0.51,0.51,0.51,0.53,1,300,153,
UGROCAP     ,161.5,164,145,156.65,164,161.25,58,5052,746261,
SHALIB.FINAN,95,95,92,93.4,92.5,90.5,39,2820,264340,
ABIRAMI FIN.,7.88,7.88,7.88,7.88,7.88,7.51,2,30,236,
MANSI FINANC,34,34,34,34,34,32.5,3,510,17340,
UPASANA FIN.,45.2,54,44.8,53.85,54,47.5,279,179201,8697965,
MUTHOOT CAP ,754.55,802.45,753.2,794.05,791.6,758.95,91,336,262823,
CNI RES LTD ,2,2.17,1.95,2.08,2,2.11,17,704,1444,
LUHARUKA    ,0.6,0.6,0.6,0.6,0.6,0.59,1,100,60,
DECCANGOLD  ,26.7,27.5,26.3,26.7,26.55,26.1,124,30024,808662,
UPL         ,817.55,829.45,814.55,824.4,824.4,815.45,610,27366,22473230,
CRANES SOFTW,1.78,1.84,1.7,1.77,1.7,1.76,35,8514,15550,
SIGNET IND  ,42,42.65,40.5,41.45,41.6,40.9,80,4596,190162,
ADVANCE TECH,0.19,0.19,0.19,0.19,0.19,0.19,2,300,57,
8KMILES     ,111.1,113.35,107.5,110.95,110.95,109.75,730,41485,4602115,
ABANSENT    ,29.95,31,29.95,30.35,30.5,29.9,7,240,7212,
VAMA INDS   ,7.98,7.98,7.7,7.91,7.91,7.47,11,1217,9616,
SUNTECK REAL,340.65,348,334.25,345,345,338.35,1163,55699,18880713,
PRISM MEDI  ,37.9,38,36.1,36.25,37.9,38,30,3743,135703,
VERITAS     ,50.4,52.4,50.4,52.4,52.4,51.4,2,2600,131240,
JAI CORP LTD,88.9,90.7,87.1,89.4,89.4,87.85,892,97873,8701270,
ASHIRWAD CAP,3.64,3.65,3.46,3.61,3.62,3.59,86,132931,481317,
SVARTCORP   ,3.34,3.34,3.06,3.31,3.31,3.34,21,4628,14493,
MEDIA MATRIX,4.3,4.73,4.3,4.7,4.73,4.35,3,12000,54430,
SHIRPUR GOLD,41.15,41.9,41.15,41.15,41.15,41.5,4,250,10365,
BHAGYA INL  ,31.95,31.95,30.1,31.1,31.1,30.4,21,1620,49497,
CRESSANDA SO,0.67,0.67,0.67,0.67,0.67,0.7,1,500,335,
STARTECK    ,26,26.55,26,26.55,26.55,25.65,7,1600,41960,
SHARDUL SECU,48,48,48,48,48,47.8,4,1300,62400,
NIRAV COMMER,276,287.95,275,287.95,287.95,289,5,87,24186,
APOLLO FIN I,49,49,46.55,49,49,49,5,890,43365,
SHRI JAGDAMB,259.7,259.9,250,250.15,250.15,248.5,17,192,48966,
LLOYDS MET E,10.75,12.35,10.75,12.09,12.03,11.01,130,55787,665753,
SHREE GLOBAL,2.66,2.66,2.66,2.66,2.66,2.54,3,2159,5742,
BETEX INDIA ,25,25,22.75,22.75,22.75,23.85,11,145,3572,
POLYTEX(P)  ,1.55,1.55,1.55,1.55,1.55,1.62,3,4500,6975,
GARNET INTL ,59,59.95,52.65,56.6,55,59,9,303,17664,
DONEAR IND. ,35.85,36.8,35.55,36.35,36.35,34.85,222,26611,967784,
SUPER SAL IN,355.05,359.8,345.1,355,355,355,21,746,263732,
SEQUENT     ,62.55,64.8,62.55,64.5,64.5,63.05,239,21957,1409704,
STC INDIA   ,109.5,112.7,109.5,110.3,110.3,110.6,290,13239,1468481,
KOHINORFOODS,29.2,29.8,29.05,29.4,29.45,29.3,127,11907,350220,
AVANTI FEEDS,324,326,321.9,323.35,323.35,319.75,274,6799,2199543,
