SC_CODE,SC_GROUP,SC_TYPE,ISIN_CODE,TRADING_DATE
505725,X ,Q,INE598D01019,20-Feb-19
505726,B ,Q,INE559A01017,20-Feb-19
505729,X ,Q,INE638A01035,20-Feb-19
505737,X ,Q,INE403C01014,20-Feb-19
505744,B ,Q,INE529A01010,20-Feb-19
505750,X ,Q,INE636D01017,20-Feb-19
505790,A ,Q,INE513A01014,20-Feb-19
505800,B ,Q,INE384A01010,20-Feb-19
505827,X ,Q,INE568F01017,20-Feb-19
505840,XT,Q,INE058D01030,20-Feb-19
505850,X ,Q,INE545L01039,20-Feb-19
505854,B ,Q,INE391D01019,20-Feb-19
505872,X ,Q,INE765D01014,20-Feb-19
505890,B ,Q,INE717A01029,20-Feb-19
505978,X ,Q,INE440G01017,20-Feb-19
506003,XT,Q,INE618D01015,20-Feb-19
506022,B ,Q,INE603A01013,20-Feb-19
506027,X ,Q,INE866G01013,20-Feb-19
506074,B ,Q,INE968D01022,20-Feb-19
506076,B ,Q,INE536A01023,20-Feb-19
506105,X ,Q,INE441L01015,20-Feb-19
506109,B ,Q,INE727B01026,20-Feb-19
506122,X ,Q,INE820M01018,20-Feb-19
506128,X ,Q,INE383L01019,20-Feb-19
506146,B ,Q,INE370E01029,20-Feb-19
506186,XT,Q,INE403B01016,20-Feb-19
506194,B ,Q,INE643K01018,20-Feb-19
506197,B ,Q,INE416D01022,20-Feb-19
506222,B ,Q,INE189B01011,20-Feb-19
506235,B ,Q,INE426A01027,20-Feb-19
506248,X ,Q,INE275D01022,20-Feb-19
506260,X ,Q,INE489G01022,20-Feb-19
506261,X ,Q,INE737D01021,20-Feb-19
506285,A ,Q,INE462A01022,20-Feb-19
506365,XT,Q,INE320M01019,20-Feb-19
506390,B ,Q,INE492A01029,20-Feb-19
506395,A ,Q,INE169A01031,20-Feb-19
506401,B ,Q,INE288B01029,20-Feb-19
506405,X ,Q,INE505A01010,20-Feb-19
506414,X ,Q,INE225B01021,20-Feb-19
506480,B ,Q,INE077F01035,20-Feb-19
506520,X ,Q,INE693E01016,20-Feb-19
506522,X ,Q,INE430D01015,20-Feb-19
506525,B ,Q,INE138C01024,20-Feb-19
506528,X ,Q,INE881E01017,20-Feb-19
506532,X ,Q,INE265B01019,20-Feb-19
506579,B ,Q,INE321D01016,20-Feb-19
506590,B ,Q,INE602A01023,20-Feb-19
506597,X ,Q,INE841D01013,20-Feb-19
506618,B ,Q,INE277B01014,20-Feb-19
506642,X ,Q,INE888C01032,20-Feb-19
506655,B ,Q,INE659A01023,20-Feb-19
506685,X ,Q,INE405A01021,20-Feb-19
506687,X ,Q,INE687A01016,20-Feb-19
506690,B ,Q,INE351A01035,20-Feb-19
506734,X ,Q,INE741A01011,20-Feb-19
506767,B ,Q,INE150B01021,20-Feb-19
506808,XT,Q,INE400A01014,20-Feb-19
506820,B ,Q,INE203A01020,20-Feb-19
506852,X ,Q,INE607A01014,20-Feb-19
506854,X ,Q,INE639B01015,20-Feb-19
506863,X ,Q,INE716M01034,20-Feb-19
506879,X ,Q,INE942C01029,20-Feb-19
506906,X ,Q,INE467X01015,20-Feb-19
506910,X ,Q,INE703C01025,20-Feb-19
506919,X ,Q,INE987A01010,20-Feb-19
506943,B ,Q,INE572A01028,20-Feb-19
506981,X ,Q,INE472D01017,20-Feb-19
507155,XT,Q,INE574A01016,20-Feb-19
507180,B ,Q,INE133B01019,20-Feb-19
507205,B ,Q,INE133E01013,20-Feb-19
507265,XT,Q,INE044N01013,20-Feb-19
507300,XT,Q,INE615A01017,20-Feb-19
507315,B ,Q,INE623A01011,20-Feb-19
507410,B ,Q,INE711A01022,20-Feb-19
507435,XT,Q,INE687B01014,20-Feb-19
507438,B ,Q,INE076C01018,20-Feb-19
507442,B ,Q,INE988C01014,20-Feb-19
507450,T ,Q,INE409A01015,20-Feb-19
507474,X ,Q,INE991B01010,20-Feb-19
507488,B ,Q,INE075D01018,20-Feb-19
507490,B ,Q,INE625B01014,20-Feb-19
507498,X ,Q,INE544C01023,20-Feb-19
507508,XT,Q,INE909C01010,20-Feb-19
507514,B ,Q,INE480C01012,20-Feb-19
507525,X ,Q,INE866E01026,20-Feb-19
507526,X ,Q,INE073G01016,20-Feb-19
507552,X ,Q,INE976E01023,20-Feb-19
507580,B ,Q,INE043C01018,20-Feb-19
507598,X ,Q,INE014E01015,20-Feb-19
507621,X ,Q,INE588G01013,20-Feb-19
507645,X ,Q,INE339F01021,20-Feb-19
507649,X ,Q,INE349E01023,20-Feb-19
507663,P ,Q,INE131O01016,20-Feb-19
507685,A ,Q,INE075A01022,20-Feb-19
507690,X ,Q,INE247F01018,20-Feb-19
507717,B ,Q,INE435G01025,20-Feb-19
507747,B ,Q,INE910C01018,20-Feb-19
507753,X ,Q,INE284B01028,20-Feb-19
507759,X ,Q,INE891G01011,20-Feb-19
507779,X ,Q,INE694E01014,20-Feb-19
507785,B ,Q,INE123C01018,20-Feb-19
507789,B ,Q,INE048B01027,20-Feb-19
507794,X ,Q,INE745B01028,20-Feb-19
507813,X ,Q,INE296D01010,20-Feb-19
507815,A ,Q,INE322A01010,20-Feb-19
507828,B ,Q,INE880B01015,20-Feb-19
507836,XT,Q,INE435D01014,20-Feb-19
507864,X ,Q,INE746D01014,20-Feb-19
507878,T ,Q,INE694A01020,20-Feb-19
507880,A ,Q,INE054A01027,20-Feb-19
507910,X ,Q,INE296C01020,20-Feb-19
507912,X ,Q,INE724A01017,20-Feb-19
507917,P ,Q,INE706N01017,20-Feb-19
507944,X ,Q,INE704G01016,20-Feb-19
507948,XT,Q,INE130F01016,20-Feb-19
507960,X ,Q,INE621C01011,20-Feb-19
507981,X ,Q,INE726D01016,20-Feb-19
507998,X ,Q,INE657D01021,20-Feb-19
508136,X ,Q,INE489D01011,20-Feb-19
508486,B ,Q,INE979B01015,20-Feb-19
508494,X ,Q,INE712A01012,20-Feb-19
508664,XT,Q,INE553F01035,20-Feb-19
508807,X ,Q,INE684B01011,20-Feb-19
508814,B ,Q,INE757A01017,20-Feb-19
508869,A ,Q,INE437A01024,20-Feb-19
508875,X ,Q,INE861H01012,20-Feb-19
508905,X ,Q,INE641A01013,20-Feb-19
508906,B ,Q,INE295A01018,20-Feb-19
508922,X ,Q,INE331L01026,20-Feb-19
508933,B ,Q,INE193B01039,20-Feb-19
508941,X ,Q,INE013E01017,20-Feb-19
508989,B ,Q,INE060A01024,20-Feb-19
508996,X ,Q,INE086E01021,20-Feb-19
509020,T ,Q,INE413B01023,20-Feb-19
509048,X ,Q,INE572G01025,20-Feb-19
509051,XT,Q,INE300B01022,20-Feb-19
509055,B ,Q,INE392A01013,20-Feb-19
509077,B ,Q,INE980A01023,20-Feb-19
509079,B ,Q,INE742B01025,20-Feb-19
509148,XT,Q,INE011C01015,20-Feb-19
509152,B ,Q,INE137I01015,20-Feb-19
509162,X ,Q,INE802D01023,20-Feb-19
509196,XT,Q,INE159E01026,20-Feb-19
509220,B ,Q,INE034D01031,20-Feb-19
509243,B ,Q,INE421C01016,20-Feb-19
509438,XT,Q,INE664D01019,20-Feb-19
509449,XT,Q,INE026I01010,20-Feb-19
509472,X ,Q,INE145E01017,20-Feb-19
509480,A ,Q,INE463A01038,20-Feb-19
509486,X ,Q,INE479A01018,20-Feb-19
509488,A ,Q,INE371A01025,20-Feb-19
509496,B ,Q,INE686A01026,20-Feb-19
509525,B ,Q,INE515H01014,20-Feb-19
509557,B ,Q,INE276A01018,20-Feb-19
509567,B ,Q,INE426D01013,20-Feb-19
509631,A ,Q,INE545A01016,20-Feb-19
509635,B ,Q,INE310C01029,20-Feb-19
509675,B ,Q,INE557A01011,20-Feb-19
509692,B ,Q,INE061A01014,20-Feb-19
509709,B ,Q,INE575C01027,20-Feb-19
509715,B ,Q,INE364A01020,20-Feb-19
509820,B ,Q,INE275B01026,20-Feb-19
509874,B ,Q,INE849C01026,20-Feb-19
